,rnaspider
00046_cpr7p_0031892.pdb,0.0
00015_cpr7p_0001424.pdb,2.0
00013_cppc_0012043.pdb,0.0
00001_cppc_0000358.pdb,0.0
00016_cpr7p_0002512.pdb,0.0
00004_cppc_0003761.pdb,0.0
00005_cppc_0004021.pdb,0.0
00002_cppc_0001473.pdb,0.0
00004_cppc_0003222.pdb,0.0
00005_cppc_0004384.pdb,0.0
00001_cppc_0000478.pdb,0.0
00006_cppc_0005082.pdb,2.0
00011_cppc_0010246.pdb,0.0
00004_cppc_0003017.pdb,0.0
00009_cppc_0008249.pdb,0.0
00014_cppc_0013094.pdb,0.0
00007_cppc_0006410.pdb,0.0
00002_cppc_0001035.pdb,0.0
00006_cppc_0005661.pdb,0.0
00013_cppc_0012899.pdb,0.0
00005_cppc_0004255.pdb,0.0
00012_cppc_0011431.pdb,0.0
00013_cppc_0012075.pdb,0.0
00001_cppc_0000524.pdb,0.0
00012_cppc_0011001.pdb,0.0
00003_cppc_0002542.pdb,0.0
00013_cppc_0012793.pdb,0.0
00009_cppc_0008511.pdb,0.0
00032_cpr7p_0017852.pdb,0.0
00026_cpr7p_0012424.pdb,0.0
00005_cppc_0004660.pdb,0.0
00010_cppc_0009805.pdb,0.0
00005_cppc_0004574.pdb,0.0
00011_cppc_0010724.pdb,0.0
00005_cppc_0004427.pdb,0.0
00021_cpr7p_0007426.pdb,0.0
00004_cppc_0003911.pdb,0.0
00009_cppc_0008241.pdb,0.0
00003_cppc_0002515.pdb,0.0
00022_cpr7p_0007848.pdb,0.0
00005_cppc_0004552.pdb,0.0
00034_cpr7p_0019601.pdb,0.0
00012_cppc_0011370.pdb,0.0
00003_cppc_0002188.pdb,0.0
00002_cppc_0001305.pdb,0.0
00005_cppc_0004340.pdb,0.0
00009_cppc_0008132.pdb,0.0
00041_cpr7p_0027020.pdb,0.0
00036_cpr7p_0021974.pdb,0.0
00008_cppc_0007557.pdb,0.0
00011_cppc_0010402.pdb,0.0
00016_cpr7p_0001601.pdb,0.0
00010_cppc_0009838.pdb,0.0
00012_cppc_0011631.pdb,0.0
00004_cppc_0003034.pdb,0.0
00002_cppc_0001943.pdb,0.0
00024_cpr7p_0010243.pdb,0.0
00049_cpr7p_0035330.pdb,0.0
00011_cppc_0010049.pdb,0.0
