,badBondsCategory,badAnglesCategory,rankCategory
00013_cppc_0012912.pdb,Warning,Good,Warning
00010_cppc_0009176.pdb,Warning,Good,Warning
00003_cppc_0002802.pdb,Warning,Good,Caution
00048_cpr7p_0033932.pdb,Warning,Good,Warning
00030_cpr7p_0016339.pdb,Warning,Good,Warning
00002_cppc_0001077.pdb,Warning,Good,Warning
00030_cpr7p_0016532.pdb,Warning,Good,Warning
00013_cppc_0012567.pdb,Warning,Good,Warning
00012_cppc_0011422.pdb,Warning,Good,Warning
00009_cppc_0008104.pdb,Warning,Good,Warning
00014_cppc_0013250.pdb,Warning,Good,Warning
00013_cppc_0012018.pdb,Warning,Good,Caution
00002_cppc_0001518.pdb,Warning,Good,Warning
00002_cppc_0001706.pdb,Warning,Good,Caution
00020_cpr7p_0005953.pdb,Warning,Good,Caution
00044_cpr7p_0030458.pdb,Warning,Good,Caution
00007_cppc_0006557.pdb,Warning,Good,Warning
00007_cppc_0006691.pdb,Warning,Good,Warning
00007_cppc_0006564.pdb,Warning,Good,Warning
00001_cppc_0000032.pdb,Warning,Caution,Caution
00007_cppc_0006294.pdb,Warning,Good,Caution
00024_cpr7p_0010417.pdb,Warning,Good,Warning
00001_cppc_0000266.pdb,Warning,Good,Warning
00004_cppc_0003469.pdb,Warning,Good,Warning
